[-0.5198358487585446,0.0] [2] [-0.5188640701104285,0.000971778648116115]
[-0.4718350903138559,0.0025986759410550698] [2] [-0.4686230835210189,0.0032120067928369904]
[-0.4686230835210189,0.0032120067928369904] [2] [-0.4648215277212078,0.0038015557998111052]
[-0.4648215277212078,0.0038015557998111052] [2] [-0.4604585203866685,0.004363007334539244]
[-0.4604585203866685,0.004363007334539244] [2] [-0.45556623818394526,0.0048922822027232665]
[-0.45556623818394526,0.0048922822027232665] [2] [-0.45018066494246256,0.005385573241482718]
[-0.45018066494246256,0.005385573241482718] [1] [-0.4453412862458261,0.004839378696636457]
[-0.4453412862458261,0.004839378696636457] [2] [-0.4400834618027142,0.005257824443111902]
[-0.4400834618027142,0.005257824443111902] [2] [-0.43444546958897673,0.005637992213737459]
[-0.43444546958897673,0.005637992213737459] [2] [-0.4284681836796516,0.005977285909325104]
[-0.4284681836796516,0.005977285909325104] [2] [-0.4221947312750213,0.006273452404630321]
[-0.4221947312750213,0.006273452404630321] [2] [-0.4156701328141912,0.006524598460830072]
[-0.4156701328141912,0.006524598460830072] [2] [-0.4089409294406987,0.006729203373492455]
[-0.4089409294406987,0.006729203373492455] [2] [-0.40205480237096924,0.006886127069729455]
[-0.40205480237096924,0.006886127069729455] [2] [-0.39506018889557304,0.0069946134753962]
[-0.39506018889557304,0.0069946134753962] [2] [-0.3880058997977168,0.007054289097856189]
[-0.3880058997977168,0.007054289097856189] [2] [-0.3809407428922992,0.007065156905417643]
[-0.3809407428922992,0.007065156905417643] [2] [-0.37391315716885476,0.007027585723444407]
[-0.37391315716885476,0.007027585723444407] [2] [-0.3669708616675572,0.0069422955012975705]
[-0.3669708616675572,0.0069422955012975705] [2] [-0.36016052274172816,0.0068103389258290506]
[-0.36016052274172816,0.0068103389258290506] [2] [-0.3535274427826041,0.006633079959124027]
[-0.3535274427826041,0.006633079959124027] [2] [-0.34711527282766186,0.006412169954942279]
[-0.34711527282766186,0.006412169954942279] [2] [-0.34096575077170554,0.006149522055956316]
[-0.34096575077170554,0.006149522055956316] [2] [-0.33511846618120483,0.005847284590500735]
[-0.33511846618120483,0.005847284590500735] [2] [-0.3296106520080206,0.005507814173184252]
[-0.3296106520080206,0.005507814173184252] [2] [-0.3244770028377651,0.005133649170255519]
[-0.3244770028377651,0.005133649170255519] [2] [-0.3197495187162831,0.004727484121482011]
[-0.3197495187162831,0.004727484121482011] [2] [-0.3154573730961943,0.004292145620088776]
[-0.3154573730961943,0.004292145620088776] [2] [-0.3116268030498523,0.003830570046342019]
[-0.3116268030498523,0.003830570046342019] [2] [-0.30828101961554893,0.0033457834343033573]
[-0.30828101961554893,0.0033457834343033573] [2] [-0.3054401359848294,0.0028408836307195692]
[-0.3054401359848294,0.0028408836307195692] [2] [-0.3031211111996461,0.0023190247851832967]
[-0.3031211111996461,0.0023190247851832967] [2] [-0.3013377071033886,0.0017834040962574963]
[-0.3013377071033886,0.0017834040962574963] [2] [-0.30010045647023836,0.0012372506331502448]
[-0.30010045647023836,0.0012372506331502448] [2] [-0.29941664051027983,0.0006838159599585369]
[-0.29941664051027983,0.0006838159599585369] [2] [-0.29929027429833216,0.0001263662119476614]
[-0.29929027429833216,0.0001263662119476614] [2] [-0.29972209908571185,-0.00043182478737968546]
[-0.29972209908571185,-0.00043182478737968546] [2] [-0.3007095809079914,-0.0009874818222795503]
[-0.3007095809079914,-0.0009874818222795503] [2] [-0.3022469153793816,-0.0015373344713902326]
[-0.3022469153793816,-0.0015373344713902326] [2] [-0.30432503904631947,-0.0020781236669378707]
[-0.30432503904631947,-0.0020781236669378707] [2] [-0.3069316481398025,-0.0026066090934830223]
[-0.3069316481398025,-0.0026066090934830223] [2] [-0.310051225998841,-0.003119577859038502]
[-0.310051225998841,-0.003119577859038502] [2] [-0.313665080817584,-0.003613854818742989]
[-0.313665080817584,-0.003613854818742989] [2] [-0.31775139567873817,-0.004086314861154173]
[-0.31775139567873817,-0.004086314861154173] [2] [-0.32228529305992565,-0.004533897381187483]
[-0.32228529305992565,-0.004533897381187483] [2] [-0.3272389161238685,-0.00495362306394285]
[-0.3272389161238685,-0.00495362306394285] [2] [-0.3325815291168688,-0.005342612993000252]
[-0.3325815291168688,-0.005342612993000252] [2] [-0.3382796390957059,-0.005698109978837108]
[-0.3382796390957059,-0.005698109978837108] [0] [-0.346297140977879,-0.008017501882173081]
[-0.346297140977879,-0.008017501882173081] [0] [-0.35658258282887034,-0.010285441850991325]
[-0.35658258282887034,-0.010285441850991325] [0] [-0.36906888840212565,-0.01248630557325529]
[-0.36906888840212565,-0.01248630557325529] [0] [-0.3836730983879008,-0.01460420998577514]
[-0.3836730983879008,-0.01460420998577514] [0] [-0.40029620050611037,-0.01662310211820958]
[-0.40029620050611037,-0.01662310211820958] [0] [-0.41882312612476397,-0.0185269256186536]
[-0.41882312612476397,-0.0185269256186536] [0] [-0.43912299290866313,-0.020299866783899154]
[-0.43912299290866313,-0.020299866783899154] [0] [-0.4610496679420127,-0.02192667503334953]
[-0.4610496679420127,-0.02192667503334953] [0] [-0.4844427130644227,-0.023393045122410038]
[-0.4844427130644227,-0.023393045122410038] [0] [-0.5091287537395303,-0.024686040675107546]
[-0.5091287537395303,-0.024686040675107546] [0] [-0.5349232854970423,-0.025794531757511962]
[-0.5349232854970423,-0.025794531757511962] [0] [-0.5616328997678176,-0.02670961427077537]
[-0.5616328997678176,-0.02670961427077537] [1] [-0.5880578766790494,-0.026424976911231777]
[-0.5880578766790494,-0.026424976911231777] [0] [-0.615002417746079,-0.0269445410670296]
[-0.615002417746079,-0.0269445410670296] [0] [-0.6422699902425496,-0.027267572496470556]
[-0.6422699902425496,-0.027267572496470556] [0] [-0.6696662111735765,-0.027396220931026897]
[-0.6696662111735765,-0.027396220931026897] [0] [-0.6970016513253335,-0.027335440151757037]
[-0.6970016513253335,-0.027335440151757037] [0] [-0.7240944385328452,-0.02709278720751164]
[-0.7240944385328452,-0.02709278720751164] [0] [-0.7507725529565795,-0.026678114423734328]
[-0.7507725529565795,-0.026678114423734328] [0] [-0.7768757292747528,-0.026103176318173216]
[-0.7768757292747528,-0.026103176318173216] [0] [-0.8022569084998259,-0.025381179225073047]
[-0.8022569084998259,-0.025381179225073047] [0] [-0.8267832123389601,-0.02452630383913422]
[-0.8267832123389601,-0.02452630383913422] [0] [-0.850336442410642,-0.023553230071681877]
[-0.850336442410642,-0.023553230071681877] [0] [-0.8728131324880801,-0.02247669007743819]
[-0.8728131324880801,-0.02247669007743819] [0] [-0.8941242023716038,-0.021311069883523708]
[-0.8941242023716038,-0.021311069883523708] [0] [-0.9141942760455408,-0.020070073673936963]
[-0.9141942760455408,-0.020070073673936963] [0] [-0.9329607343831142,-0.01876645833757341]
[-0.9329607343831142,-0.01876645833757341] [0] [-0.9503725744621669,-0.01741184007905275]
[-0.9503725744621669,-0.01741184007905275] [0] [-0.9663891446409715,-0.01601657017880454]
[-0.9663891446409715,-0.01601657017880454] [0] [-0.9809788182253274,-0.014589673584355974]
[-0.9809788182253274,-0.014589673584355974] [0] [-0.9941176601473815,-0.013138841922054072]
[-0.9941176601473815,-0.013138841922054072] [0] [-1.0057881317396404,-0.011670471592259073]
[-1.0057881317396404,-0.011670471592259073] [0] [-1.0159778693608181,-0.010189737621177693]
[-1.0159778693608181,-0.010189737621177693] [0] [-1.0246785639899,-0.008700694629082018]
[-1.0246785639899,-0.008700694629082018] [0] [-1.0318849613783938,-0.007206397388493721]
[-1.0318849613783938,-0.007206397388493721] [2] [-1.0355939961513654,-0.0037090347729715123]
[-1.0355939961513654,-0.0037090347729715123] [0] [-1.037804545499392,-0.002210549348026615]
[-1.037804545499392,-0.002210549348026615] [0] [-1.038516087352996,-0.0007115418536038187]
[-1.038516087352996,-0.0007115418536038187] [0] [-1.037728477046586,0.0007876103064099293]
[-1.037728477046586,0.0007876103064099293] [2] [-1.0334418753852037,0.004286601661382389]
[-1.0334418753852037,0.004286601661382389] [2] [-1.0256574021311864,0.0077844732540172665]
[-1.0256574021311864,0.0077844732540172665] [2] [-1.014378146813779,0.01127925531740757]
[-1.014378146813779,0.01127925531740757] [2] [-0.9996109992352441,0.014767147578534763]
[-0.9996109992352441,0.014767147578534763] [2] [-0.981369283818879,0.018241715416365097]
[-0.981369283818879,0.018241715416365097] [2] [-0.9596761604776777,0.021693123341201333]
[-0.9596761604776777,0.021693123341201333] [2] [-0.9345687181288049,0.025107442348872792]
[-0.9345687181288049,0.025107442348872792] [2] [-0.9061026323183055,0.028466085810499482]
[-0.9061026323183055,0.028466085810499482] [2] [-0.8743571849504871,0.03174544736781835]
[-0.8743571849504871,0.03174544736781835] [2] [-0.8394403549150492,0.03491683003543788]
[-0.8394403549150492,0.03491683003543788] [2] [-0.8014935918888167,0.03794676302623245]
[-0.8014935918888167,0.03794676302623245] [2] [-0.760695796607702,0.040797795281114664]
[-0.760695796607702,0.040797795281114664] [2] [-0.7172659705253944,0.04342982608230763]
[-0.7172659705253944,0.04342982608230763] [2] [-0.6714639908180094,0.04580197970738498]
[-0.6714639908180094,0.04580197970738498] [2] [-0.6235890364330378,0.04787495438497164]
[-0.6235890364330378,0.04787495438497164] [2] [-0.5739753513130778,0.04961368511996005]
[-0.5739753513130778,0.04961368511996005] [2] [-0.5229852784971187,0.050990072815958985]
[-0.5229852784971187,0.050990072815958985] [2] [-0.47099980690682086,0.051985471590297844]
[-0.47099980690682086,0.051985471590297844] [2] [-0.4184071924847915,0.05259261442202934]
[-0.4184071924847915,0.05259261442202934] [2] [-0.3655904852868056,0.052816707197985896]
[-0.3655904852868056,0.052816707197985896] [2] [-0.3129149557255686,0.05267552956123701]
[-0.3129149557255686,0.05267552956123701] [2] [-0.2607164290465311,0.052198526679037495]
[-0.2607164290465311,0.052198526679037495] [2] [-0.2092914032368834,0.0514250258096477]
[-0.2092914032368834,0.0514250258096477] [2] [-0.1588895726268437,0.0504018306100397]
[-0.1588895726268437,0.0504018306100397] [2] [-0.10970906280421028,0.04918050982263341]
[-0.10970906280421028,0.04918050982263341] [2] [-0.06189436501071419,0.047814697793496085]
[-0.06189436501071419,0.047814697793496085] [2] [-0.015536693138089364,0.04635767187262483]
[-0.015536693138089364,0.04635767187262483] [2] [0.02932369386730877,0.044860387005398135]
[0.02932369386730877,0.044860387005398135] [2] [0.07269374827469435,0.04337005440738559]
[0.07269374827469435,0.04337005440738559] [2] [0.11462301672745352,0.04192926845275917]
[0.11462301672745352,0.04192926845275917] [2] [0.15519864184482418,0.04057562511737066]
[0.15519864184482418,0.04057562511737066] [2] [0.194540381511408,0.039341739666583844]
[0.194540381511408,0.039341739666583844] [2] [0.23279593943739676,0.038255557925988753]
[0.23279593943739676,0.038255557925988753] [2] [0.27013679789130784,0.03734085845391109]
[0.27013679789130784,0.03734085845391109] [2] [0.30675465351516407,0.036617855623856235]
[0.30675465351516407,0.036617855623856235] [1] [0.3418584838187629,0.03510383030359881]
[0.3418584838187629,0.03510383030359881] [1] [0.37566579673639383,0.03380731291763097]
[0.37566579673639383,0.03380731291763097] [1] [0.40839967596043775,0.03273387922404393]
[0.40839967596043775,0.03273387922404393] [1] [0.44028665838390346,0.03188698242346574]
[0.44028665838390346,0.03188698242346574] [1] [0.47155528508469446,0.031268626700791]
[0.47155528508469446,0.031268626700791] [1] [0.5024351694871741,0.03087988440247965]
[-0.5164371007536177,0.0] [2] [-0.5154908091827056,0.0009462915709121142]
[-0.5154908091827056,0.0009462915709121142] [2] [-0.513605321363719,0.0018854878189867173]
[-0.513605321363719,0.0018854878189867173] [2] [-0.5107947732240736,0.002810548139645283]
[-0.5107947732240736,0.002810548139645283] [2] [-0.5070802314888787,0.0037145417351949215]
[-0.5070802314888787,0.0037145417351949215] [2] [-0.502489528133741,0.004590703355137635]
[-0.502489528133741,0.004590703355137635] [2] [-0.4970570383350692,0.005432489798671844]
[-0.4970570383350692,0.005432489798671844] [2] [-0.49082340128349167,0.006233637051577539]
[-0.49082340128349167,0.006233637051577539] [2] [-0.4838351836392199,0.006988217644271773]
[-0.4838351836392199,0.006988217644271773] [2] [-0.47614448612846455,0.007690697510755366]
[-0.47614448612846455,0.007690697510755366] [2] [-0.46780849480025516,0.008335991328209393]
[-0.46780849480025516,0.008335991328209393] [2] [-0.45888897974612725,0.008919515054127936]
[-0.45888897974612725,0.008919515054127936] [2] [-0.44945174556531764,0.009437234180809592]
[-0.44945174556531764,0.009437234180809592] [2] [-0.43956603944478273,0.009885706120534925]
[-0.43956603944478273,0.009885706120534925] [2] [-0.429303924307769,0.010262115137013778]
[-0.429303924307769,0.010262115137013778] [2] [-0.41873962594869624,0.01056429835907276]
[-0.41873962594869624,0.01056429835907276] [2] [-0.407948864298552,0.01079076165014424]
[-0.407948864298552,0.01079076165014424] [2] [-0.3970081798483483,0.010940684450203707]
[-0.3970081798483483,0.010940684450203707] [2] [-0.3859942667147581,0.011013913133590191]
[-0.3859942667147581,0.011013913133590191] [2] [-0.3749833238081074,0.011010942906650728]
[-0.3749833238081074,0.011010942906650728] [2] [-0.36405043504001083,0.010932888768096545]
[-0.36405043504001083,0.010932888768096545] [2] [-0.35326898850468663,0.010781446535324183]
[-0.35326898850468663,0.010781446535324183] [2] [-0.34271014313797077,0.01055884536671588]
[-0.34271014313797077,0.01055884536671588] [2] [-0.3324423495844762,0.010267793553494548]
[-0.3324423495844762,0.010267793553494548] [2] [-0.3225309299909026,0.009911419593573603]
[-0.3225309299909026,0.009911419593573603] [2] [-0.31303771930869057,0.009493210682212042]
[-0.31303771930869057,0.009493210682212042] [2] [-0.3040207685502459,0.009016950758444643]
[-0.3040207685502459,0.009016950758444643] [2] [-0.29553410841044464,0.008486660139801273]
[-0.29553410841044464,0.008486660139801273] [2] [-0.2876275698344936,0.007906538575951047]
[-0.2876275698344936,0.007906538575951047] [2] [-0.28034665655942054,0.007280913275073084]
[-0.28034665655942054,0.007280913275073084] [2] [-0.27373246343127794,0.006614193128142614]
[-0.27373246343127794,0.006614193128142614] [2] [-0.267821633431915,0.005910829999362956]
[-0.267821633431915,0.005910829999362956] [2] [-0.26264634584461505,0.005175287587299963]
[-0.26264634584461505,0.005175287587299963] [2] [-0.25823432783539935,0.0044120180092157195]
[-0.25823432783539935,0.0044120180092157195] [2] [-0.2546088819005725,0.003625445934826845]
[-0.2546088819005725,0.003625445934826845] [2] [-0.2517889220955679,0.002819959805004617]
[-0.2517889220955679,0.002819959805004617] [2] [-0.2497890126741267,0.001999909421441211]
[-0.2497890126741267,0.001999909421441211] [2] [-0.24861940368691138,0.0011696089872153302]
[-0.24861940368691138,0.0011696089872153302] [2] [-0.2482860591717971,0.00033334451511427064]
[-0.2482860591717971,0.00033334451511427064] [2] [-0.2487906747732704,-0.0005046156014733147]
[-0.2487906747732704,-0.0005046156014733147] [2] [-0.25013068291718826,-0.0013400081439178596]
[-0.25013068291718826,-0.0013400081439178596] [2] [-0.2522992450036678,-0.002168562086479557]
[-0.2522992450036678,-0.002168562086479557] [2] [-0.2552852314308139,-0.0029859864271461183]
[-0.2552852314308139,-0.0029859864271461183] [2] [-0.25907319159158326,-0.003787960160769357]
[-0.25907319159158326,-0.003787960160769357] [0] [-0.26564331726080154,-0.006570125669218279]
[-0.26564331726080154,-0.006570125669218279] [0] [-0.2749607072809693,-0.009317390020167734]
[-0.2749607072809693,-0.009317390020167734] [0] [-0.28697470617125737,-0.012013998890288095]
[-0.28697470617125737,-0.012013998890288095] [0] [-0.30161804719487467,-0.014643341023617293]
[-0.30161804719487467,-0.014643341023617293] [0] [-0.3188058889187154,-0.017187841723840736]
[-0.3188058889187154,-0.017187841723840736] [0] [-0.3384348579349685,-0.019628969016253082]
[-0.3384348579349685,-0.019628969016253082] [0] [-0.36038222989511204,-0.021947371960143524]
[-0.36038222989511204,-0.021947371960143524] [0] [-0.3845053936617585,-0.024123163766646447]
[-0.3845053936617585,-0.024123163766646447] [0] [-0.4106417461261955,-0.026136352464436952]
[-0.4106417461261955,-0.026136352464436952] [0] [-0.43860915507363124,-0.02796740894743579]
[-0.43860915507363124,-0.02796740894743579] [0] [-0.4682071022135675,-0.02959794713993622]
